Edge	Weight	FractionOfOptimalForestsContaining
YAL041W (pp) YER118C	0.5	1.0
YBL105C (pd) YJL095W	0.5	1.0
YBL105C (pd) YLR133W	0.5	1.0
YBL105C (pd) YNL068C	0.5	0.0
YBL105C (pd) YOR372C	0.5	0.0
YBR023C (pp) YER118C	0.5	1.0
YBR059C (pd) YBL047C	0.5	0.0
YBR059C (pd) YDR229W	0.5	0.0
YBR059C (pd) YDR239C	0.5	0.0
YBR059C (pd) YER131W	0.5	0.0
YBR059C (pd) YFR024CA	0.5	0.0
YBR059C (pd) YGL153W	0.5	0.0
YBR059C (pd) YGR159C	0.5	0.0
YBR059C (pd) YGR240C	0.5	0.0
YBR059C (pd) YIL091C	0.5	0.0
YBR059C (pd) YJL084C	0.5	0.0
YBR059C (pd) YKR092C	0.5	0.0
YBR059C (pd) YLL018C	0.5	0.0
YBR059C (pd) YLR206W	0.5	1.0
YBR059C (pd) YNL027W	0.5	0.0
YBR059C (pd) YNL227C	0.5	0.0
YBR059C (pd) YNL272C	0.5	0.0
YBR059C (pd) YNL277W	0.5	0.0
YBR059C (pd) YOR054C	0.5	0.0
YBR059C (pd) YOR239W	0.5	0.0
YBR059C (pd) YOR329C	0.5	0.0
YBR059C (pd) YPL106C	0.5	0.0
YBR160W (pd) YAL019W	0.5	1.0
YBR160W (pd) YAL024C	0.5	1.0
YBR160W (pd) YAL031C	0.5	1.0
YBR160W (pd) YAR002W	0.5	1.0
YBR160W (pd) YBL007C	0.5	1.0
YBR160W (pd) YBL063W	0.5	1.0
YBR160W (pd) YBL105C	0.5	1.0
YBR160W (pd) YBR038W	0.5	1.0
YBR160W (pd) YBR060C	0.5	1.0
YBR160W (pd) YBR098W	0.5	0.0
YBR160W (pd) YBR102C	0.5	1.0
YBR160W (pd) YBR156C	0.5	1.0
YBR160W (pd) YBR200W	0.5	1.0
YBR160W (pd) YCL014W	0.5	1.0
YBR160W (pd) YCL051W	0.5	1.0
YBR160W (pd) YCL063W	0.5	1.0
YBR160W (pd) YCR065W	0.5	1.0
YBR160W (pd) YDL025C	0.5	0.0
YBR160W (pd) YDL028C	0.5	1.0
