GeneA,GeneB,Direction,Sign
YHR135C,YDR011W,1,0
YOL113W,YMR210W,1,0
YPL031C,YFR036W,1,0
YBR160W,YJL092W,1,0
YNL307C,YJL194W,1,0
YNL154C,YPR058W,1,0
YKL166C,YNL117W,1,0
YPL031C,YNL027W,1,0
YPL209C,YDL078C,1,0
YNL154C,YAL028W,1,0
YPL031C,YDR363WA,1,0
YJL106W,YDL153C,1,0
YJL187C,YMR173W,1,0
YNL154C,YJL162C,1,0
YDR477W,YGL207W,1,0
YNL154C,YGR276C,1,0
YGR092W,YGL245W,1,0
YHR135C,YDL135C,1,0
YHR082C,YNL155W,1,0
YHR102W,YNL161W,1,0
YPL026C,YKL184W,1,0
YBR160W,YIL031W,1,0
YHR135C,YHR117W,1,0
YNL307C,YIL033C,1,0
YMR001C,YJL051W,1,0
YGL180W,YFR034C,1,0
YJR066W,YKL126W,1,0
YOR061W,YDR054C,1,0
YBR059C,YNL272C,1,0
YJL164C,YKL191W,1,0
YBL105C,YBL039C,1,0
YFR014C,YDR312W,1,0
YNL307C,YMR239C,1,0
YCL024W,YER064C,1,0
YJR059W,YPL079W,1,0
YMR001C,YPR115W,1,0
YJL187C,YGL100W,1,0
YHR082C,YBR138C,1,0
YDL214C,YMR165C,1,0
YBR160W,YJR091C,1,0
YBL016W,YFR039C,1,0
YJL095W,YOR107W,1,0
YGL059W,YOR002W,1,0
YMR216C,YIL091C,1,0
YNL154C,YDL070W,1,0
YBR160W,YAR002W,1,0
YBR160W,YOR083W,1,0
YGL059W,YER078C,1,0
YKL101W,YGR121C,1,0
YPL236C,YPL236C,1,0
YBR160W,YDR501W,1,0
YPL031C,YHR137W,1,0
YDL214C,YBR035C,1,0
YJL187C,YGL056C,1,0
YPL031C,YJR075W,1,0
YPL031C,YER034W,1,0
YPL141C,YMR190C,1,0
YPL031C,YJL060W,1,0
YGL180W,YHL009C,1,0
YJL128C,YOL016C,1,0
YGL059W,YGR257C,1,0
YCL024W,YPR013C,1,0
YMR001C,YBR231C,1,0
YHR135C,YMR290C,1,0
YPL203W,YOR028C,1,0
YBR160W,YGL124C,1,0
YKL171W,YBR212W,1,0
YIL095W,YOR196C,1,0
YKL171W,YGR231C,1,0
YPL031C,YGL025C,1,0
YGR040W,YGL105W,1,0
