Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	SigPeptide7	SigPeptide8	SigPeptide9	SigPeptide10	SigPeptide11	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	InsigPeptide11	InsigPeptide12	InsigPeptide13	InsigPeptide14	InsigPeptide15	InsigPeptide16	InsigPeptide17	InsigPeptide18	InsigPeptide19	InsigPeptide20	ActivitySummaryT05	ActivitySummaryT10	ActivitySummaryT15	ActivitySummaryT20	ActivitySummaryT25	ActivitySummaryT30	ActivitySummaryT35	ActivitySummaryT40	ActivitySummaryT45	ActivitySummaryT50	ActivitySummaryT55	ActivitySummaryT60	FirstActive	HeatMapBg1	HeatMapBg2	HeatMapBg3	HeatMapBg4	HeatMapBg5	HeatMapBg6	HeatMapBg7	HeatMapBg8	HeatMapBg9	HeatMapBg10	HeatMapBg11
YAL001C	Excluded	false	0, 0.148088082645, 0.0120680233091, 0.0622598944701, 0.331017236018, 0.0318186258264, 0.146133828893, 0.2164859072, 0.315218411366, 0.200127654274, 0.200127654274, 0.492109552653, 0.443288374817, 0.0786098346964																																											Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL003W	Excluded	false												0, -0.0351504227903, -0.0130575955212, -0.0212186232373, -0.0165411884097, -0.0118497773703, -0.00403074467119, 0.0133550586691, -0.0276455459997, -0.0239003631165, 0.0174943794593, -0.00940812741242, -0.0017900519124, -0.00743457578034	0, 0.0622598944701, 0.260868738616, -0.0680295670472, 0.151469197503, 0.151469197503, 0.151469197503, -0.160088771814, -0.0351799886367, 0.172615521813, -0.0315479280568, -0.0344262487592, -0.0458036896131, 0.0779265786851																															Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL005C	Excluded	false												0, 0.0813396274519, 0.16658691407, 0.0200576523413, -0.0687102869482, 0.165944087771, 0.0712134896053, -0.0663971485466, 0.0564448010197, 0.0120680233091, 0.0275787274743, -0.0460717765663, -0.00275818243163, 0.104068226464																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL011W	Excluded	false												0, 0.000865357443253, 0.135403530598, -0.00362571673306, -0.00781166374669, 0.0123541304079, -0.00858064843472, -0.00430564983118, -0.200713715229, -0.242737746894, -0.316114941083, 0.098015233869, 0.0607391578577, -0.186343976022	0, -0.00631839309477, 0.0278617753545, -0.0215700429469, 0.032100843167, -0.00010099218763, -0.0710271400663, 0.000576962631521, -0.115988262416, 0.0690146779152, 0.0413831790194, -0.000707093822173, 0.0612923384783, -0.0454165408301	0, -0.0998190879131, -0.103193416414, -0.0684228327007, -0.0485912477371, -0.0558612075439, -0.0977179928503, -0.0528051569293, 0.00288250853312, 0.0264459803038, -0.0304866134181, -0.084486747751, 0.00547185121006, -0.021848310938																														Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL013W	Excluded	false												0, -0.341043650428, -0.179269599395, -0.114035243246, 0.0805212318315, -0.110308414777, -0.130744485667, 0.0144981269994, -0.220530142705, -0.251040779665, -0.114675542205, -0.201858217693, -0.0149659707469, -0.131265830362																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL016W	Excluded	true												0, -0.20076345733, -0.0026570040693, -0.0294113548013, -0.0543623346159, -0.210379241702, 0.0855606248726, 0.423739507165, -0.0328313924674, 0.115033242946, 0.179256247191, -0.00527547050049, -0.105659496102, -0.0107592444285																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL017W	Excluded	false												0, 0.0780632557768, 0.0182068566533, 0.061983516109, 0.0124971626829, 0.0010095332332, 0.0229004021101, -0.0387619356896, 0.069427210456, -0.0512197611681, -0.0258965840249, -0.0319166227725, 0.00619028907207, 0.042504263129	0, 0.0807940819582, 0.1107641219, 0.0130691500195, 0.063226801997, 0.0260209707144, 0.110496881917, 0.147046143417, 0.0997664862929, 0.132116159534, 0.0378741656611, 0.0663992289114, 0.0547790315196, 0.0510240030245																															Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL019W	Excluded	false												0, -0.0210429454775, -0.0210429454775, -0.144265387348, -0.00885642202923, 0.00949050294745, 0.00187428553135, 0.0315363532681, 0.0356239097307, 0.00317044288013, -0.0280573747802, 0.042224073763, 0.107955630087, -0.0350321654634	0, 0.112099579776, 0.145220937086, 0.219214995795, 0.175811993722, 0.128953220386, 0.133168933486, 0.133168933486, 0.133168933486, 0.199122642014, 0.224410781871, 0.258579224184, 0.272620454663, 0.242815884027	0, 0.0698396250686, -0.0658081177276, -0.0658081177276, 0.280362489974, -0.0385989268357, 0.120484656895, 0.0137838154331, 0.0137838154331, 0.141171172461, -0.0311793275405, 0.214373524436, 0.163112244347, 0.163112244347																														Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL021C	Excluded	false												0, -0.0345001274169, 0.0434844976036, -0.130065440292, -0.121721953508, -0.131044630816, -0.074243582125, -0.0483674480189, -0.0847162216961, -0.124644552721, -0.062294037695, -0.106389270985, -0.147393840192, -0.0842726049949																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
YAL022C	Excluded	false	0, -0.115675601627, -0.18777288305, -0.200796619684, -0.258304357814, -0.249770831768, -0.399121321699, -0.324256318276, -0.286480134305, -0.494779774549, -0.227337307577, -0.196839105828, -0.363920661723, -0.209294677902											0, -0.0269104297361, -0.118476329278, -0.108814151976, -0.223676991641, -0.172278512992, -0.325376647647, -0.210462703467, -0.290974103252, -0.263750160096, -0.232040170743, -0.232904592857, -0.37588974485, -0.222750735097																																Not active	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0	0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
