Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.25_mu0.000_omega0.5_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega1.0_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega1.5_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega2.0_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega2.5_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega3.0_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega3.5_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega4.0_seed122815_optimalForest.sif	22	1	21	1596	0	0.000000
prizes_beta0.25_mu0.000_omega4.5_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega5.0_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega5.5_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega6.0_seed122815_optimalForest.sif	21	1	20	1596	0	0.000000
prizes_beta0.25_mu0.000_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega7.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega7.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega8.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega8.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega9.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.000_omega9.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.005_omega0.5_seed122815_optimalForest.sif	15	1	14	1596	0	0.000000
prizes_beta0.25_mu0.005_omega1.0_seed122815_optimalForest.sif	15	1	14	1596	0	0.000000
prizes_beta0.25_mu0.005_omega1.5_seed122815_optimalForest.sif	15	1	14	1596	0	0.000000
