Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.25_mu0.050_omega4.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.050_omega3.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.010_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.010_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega3.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega9.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.055_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.055_omega0.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega3.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.060_omega0.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.050_omega8.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.020_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.075_omega7.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.040_omega4.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.075_omega3.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.050_omega5.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.035_omega8.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.035_omega8.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.085_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.025_omega10.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.050_omega6.0_seed122815_optimalForest.sif	0	0	0	1596	0	0
prizes_beta0.25_mu0.030_omega6.5_seed122815_optimalForest.sif	0	0	0	1596	0	0
